poll_id,artifact_id,artifact_type,title,location,source_id,original_archive_path,sha256,rights_status,disclosure_status,publication_status,notes
san-mateo-2008,cor-sood-san-mateo-2008,data,Cor-Sood scored knowledge battery,data/san-mateo-2008/knowledge-battery.csv,cor-sood-san-mateo-2008,replication/data.zip:data/sm.csv,3644ebabb214868cd7b00fd002965bb161518ee15067a134a4cc309472f0eb45,public-license,approved-public,published,Scored binary items; row number is not a respondent identifier
san-mateo-2008,cdd-san-mateo-2008-survey,data,Reviewed poll-level survey,data/san-mateo-2008/survey.parquet,cdd-san-mateo-2008-survey,data/san_mateo/smdp 3-18-08.dta,e9c3245501b288a468a0adffe40aca914544a86f63d478a18c15b8afe828fd4c,owner-approved,approved-redacted,published,Reviewed source; archive path and hash retained; source license not inferred
san-mateo-2008,cdd-san-mateo-2008-survey-variables,codebook,Source variables,data/san-mateo-2008/variables.csv,cdd-san-mateo-2008-survey-variables,data/san_mateo/smdp 3-18-08.dta,a0966dbc5b539322b9e52eb73066d8d979d7907440ad3fcef69215bf3cec597a,owner-approved,approved-public,published,Reviewed source; archive path and hash retained; source license not inferred
san-mateo-2008,cdd-san-mateo-2008-survey-value-labels,codebook,Source value-labels,data/san-mateo-2008/value-labels.csv,cdd-san-mateo-2008-survey-value-labels,data/san_mateo/smdp 3-18-08.dta,0e43c45b64d78c81707ed128a4c8fe29cb2eaa1f45381d33f27bbadb1554dfd6,owner-approved,approved-public,published,Reviewed source; archive path and hash retained; source license not inferred
san-mateo-2008,cdd-san-mateo-2008-questionnaire-pre,questionnaire,Original questionnaire-pre.doc,data/san-mateo-2008/questionnaire-pre.doc,cdd-san-mateo-2008-questionnaire-pre,data/san_mateo/San Mateo DP Questionnaire 3-12-08 FINAL.doc,75389ffe5dfb9396db66e1c6b6a884ae76a390103cec4efce79338371ff431e6,owner-approved,approved-public,published,Reviewed source; archive path and hash retained; source license not inferred
san-mateo-2008,cdd-san-mateo-2008-questionnaire-post,questionnaire,Original questionnaire-post.doc,data/san-mateo-2008/questionnaire-post.doc,cdd-san-mateo-2008-questionnaire-post,data/san_mateo/Threshold Exit Questionnarie 3-12-08 FINAL.doc,4ad12296ffbfe03b6be24f035be9958bd51f9f86aa265c84aa8726ad13390a80,owner-approved,approved-public,published,Reviewed source; archive path and hash retained; source license not inferred
san-mateo-2008,material-14f09619eb8626fc-san-mateo-2008,codebook,AllPollIndices,data/shared/codebooks/attitude_indices/allpollindices.csv,material-14f09619eb8626fc,meta_data/attitude_indices/AllPollIndices.csv,14f09619eb8626fc7861fe1bd3ca498a35fec8cfdcc8ba9728ff6e80b9e56992,review-required,approved-public,published,Cross-poll definition reference. Check the named poll and file version before interpreting formulas; crosswalk labels are not authoritative by themselves. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply.
san-mateo-2008,material-e0ff5cf4f836a41b-san-mateo-2008,codebook,AllPollIndices_withEmpiricalPremises,data/shared/codebooks/attitude_indices/allpollindices-withempiricalpremises.csv,material-e0ff5cf4f836a41b,meta_data/attitude_indices/AllPollIndices_withEmpiricalPremises.csv,e0ff5cf4f836a41b9bb66245130d5246dd7a942668872045c5ee66be48d1f2f5,review-required,approved-public,published,Cross-poll definition reference. Check the named poll and file version before interpreting formulas; crosswalk labels are not authoritative by themselves. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply.
san-mateo-2008,material-9408908108592c63-san-mateo-2008,codebook,Appendix A -1-13-14,data/shared/codebooks/knowledge_indices/appendix-a-1-13-14.docx,material-9408908108592c63,meta_data/knowledge_indices/Appendix A -1-13-14.docx,9408908108592c6339ae1041bd0d118c210451535cd317be4c431871b0c5e75c,review-required,approved-public,published,Cross-poll definition reference. Check the named poll and file version before interpreting formulas; crosswalk labels are not authoritative by themselves. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply.
san-mateo-2008,material-a6eea8ca19a00fe8-san-mateo-2008,codebook,Appendix A -9-14-14,data/shared/codebooks/knowledge_indices/appendix-a-9-14-14.docx,material-a6eea8ca19a00fe8,meta_data/knowledge_indices/Appendix A -9-14-14.docx,a6eea8ca19a00fe84b2b3bab798a67aec325c43ae5be66f3a51525976e1032d1,review-required,approved-public,published,Cross-poll definition reference. Check the named poll and file version before interpreting formulas; crosswalk labels are not authoritative by themselves. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply.
san-mateo-2008,material-7af1872d80219bc0-san-mateo-2008,codebook,Rosetta Stone,data/shared/codebooks/rosetta_stone/rosetta-stone.xls,material-7af1872d80219bc0,meta_data/rosetta_stone/Rosetta Stone.xls,7af1872d80219bc0f745e63c426cec847e480a8c2aa180072f6e2a838b4974c3,review-required,approved-public,published,Cross-poll definition reference. Check the named poll and file version before interpreting formulas; crosswalk labels are not authoritative by themselves. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply.
san-mateo-2008,material-7731a4ce1a2d98a7-san-mateo-2008,research-design,Appendix - Poll Details- 5-18-14--e,data/shared/design/poll_details/appendix-poll-details-5-18-14-e.docx,material-7731a4ce1a2d98a7,meta_data/poll_details/Appendix - Poll Details- 5-18-14--e.docx,7731a4ce1a2d98a79b7ae2657648c01a1625bad2d4be07c3bd97c2b029d869d1,review-required,approved-public,published,Cross-poll definition reference. Check the named poll and file version before interpreting formulas; crosswalk labels are not authoritative by themselves. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply.
san-mateo-2008,material-4ee886368a2d2e44-san-mateo-2008,briefing-material,Countywide Assembly on Housing Choices: briefing materials,data/san-mateo-2008/briefing-materials/san-mateo-briefing.pdf,material-4ee886368a2d2e44,,4ee886368a2d2e44589f75cb78984821443472cbc967e92136b6bf3e0a2566c0,review-required,approved-public,published,Policy and factual context for housing knowledge items; briefing claims are not automatically the fielded answer key. Source URL: https://drive.google.com/uc?export=download&id=1-geNMNUSG00CJzVK2E5-54rwCieACGdC. Retrieved 2026-09-23. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply.
