poll_id,artifact_id,artifact_type,title,location,source_id,original_archive_path,sha256,rights_status,disclosure_status,publication_status,notes
swepco-1996,cor-sood-swepco-1996,data,Cor-Sood scored knowledge battery,data/swepco-1996/knowledge-battery.csv,cor-sood-swepco-1996,replication/data.zip:data/swp.csv,f45a243ef7037c12c3dc3f4638f0c93e14dd2677bd44efa40679711ccd360531,public-license,approved-public,published,Scored binary items; row number is not a respondent identifier
swepco-1996,cdd-swepco-1996-survey,data,swepco-1996 survey.dta,data/swepco-1996/survey.dta,cdd-swepco-1996-survey,data/Utilities/swepco/swepco_data/swepco2.dta,d308f57bc58e3f2bc7b2446588c85c86060341a7ddd5b86634aa9743484a4c6e,owner-approved,approved-public,published,Unchanged archived survey; raw codes and column names retained
swepco-1996,cdd-swepco-1996-variables,codebook,swepco-1996 variables.csv,data/swepco-1996/variables.csv,cdd-swepco-1996-variables,data/Utilities/swepco/swepco_data/swepco2.dta,30f22993b63cbec9d0618ba9a17d041eea9bed3891219560139a028f2cdf501e,owner-approved,approved-public,published,Generated original field attributes; consult original codebook where labels are absent
swepco-1996,cdd-swepco-1996-value-labels,codebook,swepco-1996 value-labels.csv,data/swepco-1996/value-labels.csv,cdd-swepco-1996-value-labels,data/Utilities/swepco/swepco_data/swepco2.dta,355d2acaa276d4e050435819cd1870270f3a2cccddab59f6368ca593c0bf550c,owner-approved,approved-public,published,Generated original field attributes; consult original codebook where labels are absent
swepco-1996,cdd-swepco-1996-codebook,codebook,swepco-1996 codebook.txt,data/swepco-1996/codebook.txt,cdd-swepco-1996-codebook,data/Utilities/swepco/codebook/swepco.code,5ce5486be80e8cb2ee281181b42b66b17e573eb988161b18b7be7e3c531f8c05,owner-approved,approved-public,published,Unchanged original codebook
swepco-1996,material-b799c201e709521e-swepco-1996,briefing-material,energy-swepco,data/swepco-1996/briefing-materials/energy-swepco.pdf,material-b799c201e709521e,meta_data/briefing_materials/energy-swepco.pdf,b799c201e709521e32cc9a1de0e4bdfecaa7e89fd57e2600d10d12d64d98dcc8,review-required,approved-public,published,Historical metadata archive; content classified for reference. Instrument-to-variable and version-specific comparisons remain required. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply.
swepco-1996,material-1ee4b1a7a598708d-swepco-1996,paper,Deliberation and Public Spiritedness Rui Wang 5-22-14 working paper,data/shared/papers/deliberation-and-public-spiritedness-rui-wang-5-22-14-working-paper.docx,material-1ee4b1a7a598708d,meta_data/cdd_papers/Deliberation and Public Spiritedness Rui Wang 5-22-14 working paper.docx,1ee4b1a7a598708dbae08be396c5097b13979ee806a0806c99ab97d3d16beb73,review-required,approved-public,published,Historical metadata archive; content classified for reference. Instrument-to-variable and version-specific comparisons remain required. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply.
swepco-1996,material-cdd3ff1e869846b9-swepco-1996,paper,Util-appam,data/shared/papers/util-appam.doc,material-cdd3ff1e869846b9,meta_data/cdd_papers/Util-appam.doc,cdd3ff1e869846b9c1e3cd5b4da5c80aab2794e764426b90ec88df2f474e3f45,review-required,approved-public,published,Historical metadata archive; content classified for reference. Instrument-to-variable and version-specific comparisons remain required. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply.
swepco-1996,material-14f09619eb8626fc-swepco-1996,codebook,AllPollIndices,data/shared/codebooks/attitude_indices/allpollindices.csv,material-14f09619eb8626fc,meta_data/attitude_indices/AllPollIndices.csv,14f09619eb8626fc7861fe1bd3ca498a35fec8cfdcc8ba9728ff6e80b9e56992,review-required,approved-public,published,Cross-poll definition reference. Check the named poll and file version before interpreting formulas; crosswalk labels are not authoritative by themselves. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply.
swepco-1996,material-e0ff5cf4f836a41b-swepco-1996,codebook,AllPollIndices_withEmpiricalPremises,data/shared/codebooks/attitude_indices/allpollindices-withempiricalpremises.csv,material-e0ff5cf4f836a41b,meta_data/attitude_indices/AllPollIndices_withEmpiricalPremises.csv,e0ff5cf4f836a41b9bb66245130d5246dd7a942668872045c5ee66be48d1f2f5,review-required,approved-public,published,Cross-poll definition reference. Check the named poll and file version before interpreting formulas; crosswalk labels are not authoritative by themselves. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply.
swepco-1996,material-9408908108592c63-swepco-1996,codebook,Appendix A -1-13-14,data/shared/codebooks/knowledge_indices/appendix-a-1-13-14.docx,material-9408908108592c63,meta_data/knowledge_indices/Appendix A -1-13-14.docx,9408908108592c6339ae1041bd0d118c210451535cd317be4c431871b0c5e75c,review-required,approved-public,published,Cross-poll definition reference. Check the named poll and file version before interpreting formulas; crosswalk labels are not authoritative by themselves. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply.
swepco-1996,material-a6eea8ca19a00fe8-swepco-1996,codebook,Appendix A -9-14-14,data/shared/codebooks/knowledge_indices/appendix-a-9-14-14.docx,material-a6eea8ca19a00fe8,meta_data/knowledge_indices/Appendix A -9-14-14.docx,a6eea8ca19a00fe84b2b3bab798a67aec325c43ae5be66f3a51525976e1032d1,review-required,approved-public,published,Cross-poll definition reference. Check the named poll and file version before interpreting formulas; crosswalk labels are not authoritative by themselves. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply.
swepco-1996,material-7af1872d80219bc0-swepco-1996,codebook,Rosetta Stone,data/shared/codebooks/rosetta_stone/rosetta-stone.xls,material-7af1872d80219bc0,meta_data/rosetta_stone/Rosetta Stone.xls,7af1872d80219bc0f745e63c426cec847e480a8c2aa180072f6e2a838b4974c3,review-required,approved-public,published,Cross-poll definition reference. Check the named poll and file version before interpreting formulas; crosswalk labels are not authoritative by themselves. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply.
swepco-1996,material-7731a4ce1a2d98a7-swepco-1996,research-design,Appendix - Poll Details- 5-18-14--e,data/shared/design/poll_details/appendix-poll-details-5-18-14-e.docx,material-7731a4ce1a2d98a7,meta_data/poll_details/Appendix - Poll Details- 5-18-14--e.docx,7731a4ce1a2d98a79b7ae2657648c01a1625bad2d4be07c3bd97c2b029d869d1,review-required,approved-public,published,Cross-poll definition reference. Check the named poll and file version before interpreting formulas; crosswalk labels are not authoritative by themselves. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply.
swepco-1996,material-eabf0fc4da9a721a-swepco-1996,paper,Deliberative Polling and Policy Outcomes: Electric Utility Issues in Texas,data/shared/papers/utilities-paper.pdf,material-eabf0fc4da9a721a,,eabf0fc4da9a721a6ec7b90f7a104f1373153c97096d99b9111012a1218ef122,review-required,approved-public,published,"APPAM November 1999 paper. Tables 4-5 report knowledge and attitude results for the utilities; match item scaling, samples and weights before numerical checks. Source URL: https://drive.google.com/uc?export=download&id=1cDsPToB2AF9w8ou-VCcFEe6UEYhix5X0. Retrieved 2026-09-23. Original source bytes retained; no change to scoring or sample membership. Source rights retained; repository code license does not apply."
