poll_id,definition_id,source_column
uk-health-1998,ukhealth.t1payhlt@historical-v1,payhlth1
uk-health-1998,ukhealth.t1poora@historical-v1,poora1
uk-health-1998,ukhealth.t1option@historical-v1,options1
uk-health-1998,ukhealth.t1hlthfu@historical-v1,chgp1
uk-health-1998,ukhealth.t1hlthfu@historical-v1,chvis1
uk-health-1998,ukhealth.t1hlthfu@historical-v1,chmeal1
uk-health-1998,ukhealth.t1hlthfu@historical-v1,chstay1
uk-health-1998,ukhealth.t1hlthfu@historical-v1,chamb1
uk-health-1998,ukhealth.t1ctexpt@historical-v1,treata1
uk-health-1998,ukhealth.t1ctexpt@historical-v1,cthart1
uk-health-1998,ukhealth.t1ctexpt@historical-v1,ctnurs1
uk-health-1998,ukhealth.t1ctexpt@historical-v1,ctbaby1
uk-health-1998,ukhealth.t1pritre@historical-v1,ctfert1
uk-health-1998,ukhealth.t1pritre@historical-v1,cthosp1
uk-health-1998,ukhealth.t1pritre@historical-v1,ctcosm1
uk-health-1998,ukhealth.t1severi@historical-v1,lista1
uk-health-1998,ukhealth.t1severi@historical-v1,severa1
uk-health-1998,ukhealth.t1preven@historical-v1,preva1
uk-health-1998,ukhealth.t1dispub@historical-v1,ingova1
uk-health-1998,ukhealth.t1dispub@historical-v1,inpuba1
uk-health-1998,ukhealth.t1avgdis@historical-v1,ingpa1
uk-health-1998,ukhealth.t1avgdis@historical-v1,indoca1
uk-health-1998,ukhealth.t1moresa@historical-v1,say1
uk-health-1998,ukhealth.t2payhlt@historical-v1,payhlth2
uk-health-1998,ukhealth.t2poora@historical-v1,poora2
uk-health-1998,ukhealth.t2option@historical-v1,options2
uk-health-1998,ukhealth.t2hlthfu@historical-v1,chgp2
uk-health-1998,ukhealth.t2hlthfu@historical-v1,chvis2
uk-health-1998,ukhealth.t2hlthfu@historical-v1,chmeal2
uk-health-1998,ukhealth.t2hlthfu@historical-v1,chstay2
uk-health-1998,ukhealth.t2hlthfu@historical-v1,chamb2
uk-health-1998,ukhealth.t2ctexpt@historical-v1,treata2
uk-health-1998,ukhealth.t2ctexpt@historical-v1,cthart2
uk-health-1998,ukhealth.t2ctexpt@historical-v1,ctnurs2
uk-health-1998,ukhealth.t2ctexpt@historical-v1,ctbaby2
uk-health-1998,ukhealth.t2pritre@historical-v1,ctfert2
uk-health-1998,ukhealth.t2pritre@historical-v1,cthosp2
uk-health-1998,ukhealth.t2pritre@historical-v1,ctcosm2
uk-health-1998,ukhealth.t2severi@historical-v1,lista2
uk-health-1998,ukhealth.t2severi@historical-v1,severa2
uk-health-1998,ukhealth.t2preven@historical-v1,preva2
uk-health-1998,ukhealth.t2dispub@historical-v1,ingova2
uk-health-1998,ukhealth.t2dispub@historical-v1,inpuba2
uk-health-1998,ukhealth.t2avgdis@historical-v1,ingpa2
uk-health-1998,ukhealth.t2avgdis@historical-v1,indoca2
uk-health-1998,ukhealth.t2moresa@historical-v1,say2
uk-health-1998,female@historical-v1,gender
uk-health-1998,minority@historical-v1,ethnic
uk-health-1998,ppage@historical-v1,age
uk-health-1998,educ4@historical-v1,educa
uk-health-1998,educ3@historical-v1,educa
uk-health-1998,bettered@historical-v1,educa
uk-health-1998,hhincome@historical-v1,income
uk-health-1998,highinc@historical-v1,income
uk-health-1998,highinc_early@historical-v1,income
uk-health-1998,severity_t1_unscaled@historical-v1,lista1
uk-health-1998,severity_t1_unscaled@historical-v1,severa1
uk-health-1998,severity_t2_unscaled@historical-v1,lista2
uk-health-1998,severity_t2_unscaled@historical-v1,severa2
uk-health-1998,attextreme@historical-v1,chamb1
uk-health-1998,attextreme@historical-v1,chgp1
uk-health-1998,attextreme@historical-v1,chmeal1
uk-health-1998,attextreme@historical-v1,chstay1
uk-health-1998,attextreme@historical-v1,chvis1
uk-health-1998,attextreme@historical-v1,ctbaby1
uk-health-1998,attextreme@historical-v1,ctcosm1
uk-health-1998,attextreme@historical-v1,ctfert1
uk-health-1998,attextreme@historical-v1,cthart1
uk-health-1998,attextreme@historical-v1,cthosp1
uk-health-1998,attextreme@historical-v1,ctnurs1
uk-health-1998,attextreme@historical-v1,indoca1
uk-health-1998,attextreme@historical-v1,ingova1
uk-health-1998,attextreme@historical-v1,ingpa1
uk-health-1998,attextreme@historical-v1,inpuba1
uk-health-1998,attextreme@historical-v1,lista1
uk-health-1998,attextreme@historical-v1,options1
uk-health-1998,attextreme@historical-v1,payhlth1
uk-health-1998,attextreme@historical-v1,poora1
uk-health-1998,attextreme@historical-v1,preva1
uk-health-1998,attextreme@historical-v1,say1
uk-health-1998,attextreme@historical-v1,severa1
uk-health-1998,attextreme@historical-v1,treata1
uk-health-1998,t1know@historical-v1,sopha1
uk-health-1998,t1know@historical-v1,sophb1
uk-health-1998,t1know@historical-v1,sophc1
uk-health-1998,t1know@historical-v1,sophd1
uk-health-1998,t1know@historical-v1,sophe1
uk-health-1998,t1know@historical-v1,sophf1
uk-health-1998,t2know@historical-v1,sopha2
uk-health-1998,t2know@historical-v1,sophb2
uk-health-1998,t2know@historical-v1,sophc2
uk-health-1998,t2know@historical-v1,sophd2
uk-health-1998,t2know@historical-v1,sophe2
uk-health-1998,t2know@historical-v1,sophf2
uk-health-1998,t1knowcor@historical-v1,sopha1
uk-health-1998,t1knowcor@historical-v1,sophb1
uk-health-1998,t1knowcor@historical-v1,sophc1
uk-health-1998,t1knowcor@historical-v1,sophd1
uk-health-1998,t1knowcor@historical-v1,sophe1
uk-health-1998,t1knowcor@historical-v1,sophf1
uk-health-1998,t1knowcor@historical-v1,sopha2
uk-health-1998,t1knowcor@historical-v1,sophb2
uk-health-1998,t1knowcor@historical-v1,sophc2
uk-health-1998,t1knowcor@historical-v1,sophd2
uk-health-1998,t1knowcor@historical-v1,sophe2
uk-health-1998,t1knowcor@historical-v1,sophf2
uk-health-1998,knowgain@historical-v1,sopha1
uk-health-1998,knowgain@historical-v1,sophb1
uk-health-1998,knowgain@historical-v1,sophc1
uk-health-1998,knowgain@historical-v1,sophd1
uk-health-1998,knowgain@historical-v1,sophe1
uk-health-1998,knowgain@historical-v1,sophf1
uk-health-1998,knowgain@historical-v1,sopha2
uk-health-1998,knowgain@historical-v1,sophb2
uk-health-1998,knowgain@historical-v1,sophc2
uk-health-1998,knowgain@historical-v1,sophd2
uk-health-1998,knowgain@historical-v1,sophe2
uk-health-1998,knowgain@historical-v1,sophf2
uk-health-1998,knowgain2@historical-v1,sopha1
uk-health-1998,knowgain2@historical-v1,sophb1
uk-health-1998,knowgain2@historical-v1,sophc1
uk-health-1998,knowgain2@historical-v1,sophd1
uk-health-1998,knowgain2@historical-v1,sophe1
uk-health-1998,knowgain2@historical-v1,sophf1
uk-health-1998,knowgain2@historical-v1,sopha2
uk-health-1998,knowgain2@historical-v1,sophb2
uk-health-1998,knowgain2@historical-v1,sophc2
uk-health-1998,knowgain2@historical-v1,sophd2
uk-health-1998,knowgain2@historical-v1,sophe2
uk-health-1998,knowgain2@historical-v1,sophf2
uk-health-1998,logpk@historical-v1,sopha1
uk-health-1998,logpk@historical-v1,sophb1
uk-health-1998,logpk@historical-v1,sophc1
uk-health-1998,logpk@historical-v1,sophd1
uk-health-1998,logpk@historical-v1,sophe1
uk-health-1998,logpk@historical-v1,sophf1
uk-health-1998,logpk@historical-v1,sopha2
uk-health-1998,logpk@historical-v1,sophb2
uk-health-1998,logpk@historical-v1,sophc2
uk-health-1998,logpk@historical-v1,sophd2
uk-health-1998,logpk@historical-v1,sophe2
uk-health-1998,logpk@historical-v1,sophf2
uk-health-1998,tobitpk@historical-v1,sopha1
uk-health-1998,tobitpk@historical-v1,sophb1
uk-health-1998,tobitpk@historical-v1,sophc1
uk-health-1998,tobitpk@historical-v1,sophd1
uk-health-1998,tobitpk@historical-v1,sophe1
uk-health-1998,tobitpk@historical-v1,sophf1
uk-health-1998,tobitpk@historical-v1,sopha2
uk-health-1998,tobitpk@historical-v1,sophb2
uk-health-1998,tobitpk@historical-v1,sophc2
uk-health-1998,tobitpk@historical-v1,sophd2
uk-health-1998,tobitpk@historical-v1,sophe2
uk-health-1998,tobitpk@historical-v1,sophf2
uk-health-1998,t1know_rounded@historical-v1,sopha1
uk-health-1998,t1know_rounded@historical-v1,sophb1
uk-health-1998,t1know_rounded@historical-v1,sophc1
uk-health-1998,t1know_rounded@historical-v1,sophd1
uk-health-1998,t1know_rounded@historical-v1,sophe1
uk-health-1998,t1know_rounded@historical-v1,sophf1
uk-eu-1995,ukeu.eurelat1g@historical-v1,releu1
uk-eu-1995,ukeu.eurelat1g@historical-v1,longpol1
uk-eu-1995,ukeu.eurelat1g@historical-v1,unite1
uk-eu-1995,ukeu.euscope1g@historical-v1,trabloc1
uk-eu-1995,ukeu.euscope1g@historical-v1,pasport1
uk-eu-1995,ukeu.commies1r@historical-v1,commies1
uk-eu-1995,ukeu.favref1r@historical-v1,favref1
uk-eu-1995,ukeu.eurelat2g@historical-v1,releu2
uk-eu-1995,ukeu.eurelat2g@historical-v1,longpol2
uk-eu-1995,ukeu.eurelat2g@historical-v1,unite2
uk-eu-1995,ukeu.euscope2g@historical-v1,trabloc2
uk-eu-1995,ukeu.euscope2g@historical-v1,pasport2
uk-eu-1995,ukeu.commies2r@historical-v1,commies2
uk-eu-1995,ukeu.favref2r@historical-v1,favref2
uk-eu-1995,female@historical-v1,sex
uk-eu-1995,minority@historical-v1,ethnic
uk-eu-1995,ppage@historical-v1,age
uk-eu-1995,educ4@historical-v1,educ
uk-eu-1995,educ3@historical-v1,educ
uk-eu-1995,bettered@historical-v1,educ
uk-eu-1995,t1polint@historical-v1,genint
uk-eu-1995,attextreme@historical-v1,releu1
uk-eu-1995,attextreme@historical-v1,longpol1
uk-eu-1995,attextreme@historical-v1,unite1
uk-eu-1995,attextreme@historical-v1,trabloc1
uk-eu-1995,attextreme@historical-v1,pasport1
uk-eu-1995,attextreme@historical-v1,commies1
uk-eu-1995,attextreme@historical-v1,favref1
uk-eu-1995,t1know@historical-v1,eusize1
uk-eu-1995,t1know@historical-v1,swiss1
uk-eu-1995,t1know@historical-v1,inctax1
uk-eu-1995,t1know@historical-v1,elect1
uk-eu-1995,t1know@historical-v1,ptyapp1
uk-eu-1995,t2know@historical-v1,eusize2
uk-eu-1995,t2know@historical-v1,swiss2
uk-eu-1995,t2know@historical-v1,inctax2
uk-eu-1995,t2know@historical-v1,elect2
uk-eu-1995,t2know@historical-v1,ptyapp2
uk-eu-1995,t1knowcor@historical-v1,eusize1
uk-eu-1995,t1knowcor@historical-v1,swiss1
uk-eu-1995,t1knowcor@historical-v1,inctax1
uk-eu-1995,t1knowcor@historical-v1,elect1
uk-eu-1995,t1knowcor@historical-v1,ptyapp1
uk-eu-1995,t1knowcor@historical-v1,eusize2
uk-eu-1995,t1knowcor@historical-v1,swiss2
uk-eu-1995,t1knowcor@historical-v1,inctax2
uk-eu-1995,t1knowcor@historical-v1,elect2
uk-eu-1995,t1knowcor@historical-v1,ptyapp2
uk-eu-1995,knowgain@historical-v1,eusize1
uk-eu-1995,knowgain@historical-v1,swiss1
uk-eu-1995,knowgain@historical-v1,inctax1
uk-eu-1995,knowgain@historical-v1,elect1
uk-eu-1995,knowgain@historical-v1,ptyapp1
uk-eu-1995,knowgain@historical-v1,eusize2
