table,column,arrow_type,nullable,key,description
respondents,poll_id,string,FALSE,TRUE,Stable poll identifier
respondents,respondent_id,string,FALSE,TRUE,Original survey ID or documented file-scoped row ID
respondents,arm,string,TRUE,FALSE,Observed participant status; does not assert random assignment
respondents,source_row,int32,FALSE,FALSE,One-based row in the original poll survey
respondents,battery_row,int32,FALSE,FALSE,Historical participant ordering for deposit comparison only
respondents,female,int32,TRUE,FALSE,Female indicator preserving the source coding
items,poll_id,string,FALSE,TRUE,Poll identifier
items,item_id,string,FALSE,TRUE,Canonical source-column identifier within poll
items,source_column_t1,string,FALSE,FALSE,Baseline source field
items,historical_item_id,string,TRUE,FALSE,Historical respondent knowledge item ID when present
items,historical_item_id_t2,string,TRUE,FALSE,Historical wave-two alias when it differs from the baseline item ID
items,cor_item_id,string,TRUE,FALSE,Cor-Sood battery item ID when present
items,question,string,FALSE,FALSE,Question text or sourced paraphrase
items,wording_source,string,FALSE,FALSE,Wording provenance and exactness
items,response_type,string,FALSE,FALSE,"Closed, placement, open numeric, or open coded format"
items,answer_choices,string,TRUE,FALSE,Archived offered choices when recoverable
items,correct_codes,string,FALSE,FALSE,Scored source code or accepted range
items,correct_answer,string,FALSE,FALSE,Readable answer or scoring range
items,source_reference,string,FALSE,FALSE,Source file used to reconstruct the item
items,coding_note,string,TRUE,FALSE,Open-response rule or source limitation
responses,poll_id,string,FALSE,TRUE,Stable poll identifier
responses,respondent_id,string,FALSE,TRUE,Original survey ID or documented file-scoped row ID
responses,wave,int32,FALSE,TRUE,Ordered measurement wave
responses,item_id,string,FALSE,TRUE,Stable item identifier within poll
responses,value_numeric,float64,TRUE,FALSE,Numeric response when applicable
responses,value_text,string,TRUE,FALSE,Text or categorical response when applicable
responses,missing_code,string,TRUE,FALSE,Explicit source missing-value code
indices,poll_id,string,FALSE,TRUE,Stable poll identifier
indices,index_id,string,FALSE,TRUE,Stable index identifier within poll
indices,construct,string,FALSE,FALSE,Knowledge or attitude construct
indices,scoring_method,string,FALSE,FALSE,Named scoring rule
index_items,poll_id,string,FALSE,TRUE,Stable poll identifier
index_items,index_id,string,FALSE,TRUE,Stable index identifier within poll
index_items,item_id,string,FALSE,TRUE,Stable item identifier within poll
index_items,weight,float64,FALSE,FALSE,Item weight in the index
index_items,direction,int32,FALSE,FALSE,One for aligned and minus one for reversed coding
groups,poll_id,string,FALSE,TRUE,Stable poll identifier
groups,session_id,string,FALSE,TRUE,Stable deliberative session identifier
groups,group_id,string,FALSE,TRUE,Stable group identifier within session
memberships,poll_id,string,FALSE,TRUE,Stable poll identifier
memberships,respondent_id,string,FALSE,TRUE,Original survey ID or documented file-scoped row ID
memberships,session_id,string,FALSE,TRUE,Stable deliberative session identifier
memberships,group_id,string,FALSE,TRUE,Stable group identifier within session
memberships,weight,float64,FALSE,FALSE,Multiple-membership weight summing to one by person
knowledge_responses,poll_id,string,FALSE,TRUE,Stable poll identifier
knowledge_responses,respondent_id,string,FALSE,TRUE,Original survey ID or documented file-scoped row ID
knowledge_responses,wave,int32,FALSE,TRUE,Source pre or post wave numbered 1 or 2
knowledge_responses,item_id,string,FALSE,TRUE,Knowledge item identifier within poll
knowledge_responses,source_row,int32,FALSE,FALSE,One-based row in original survey
knowledge_responses,source_column,string,FALSE,FALSE,Original survey variable
knowledge_responses,raw_value,float64,TRUE,FALSE,Original numeric response including special missing codes
knowledge_responses,correct,int32,TRUE,FALSE,Correct 1 or incorrect 0; non-substantive and system missing stay null
knowledge_responses,response_status,string,FALSE,FALSE,answered or non_substantive or source_missing
knowledge_responses,missing_code,string,TRUE,FALSE,Original special missing code or system; null for substantive responses
knowledge_scores,poll_id,string,FALSE,TRUE,Stable poll identifier
knowledge_scores,respondent_id,string,FALSE,TRUE,Original survey ID or documented file-scoped row ID
knowledge_scores,wave,int32,FALSE,TRUE,Source pre or post wave numbered 1 or 2
knowledge_scores,n_items,int32,FALSE,FALSE,Full battery denominator
knowledge_scores,n_observed,int32,FALSE,FALSE,Number of substantively answered items
knowledge_scores,n_correct,int32,FALSE,FALSE,Number correct among all battery items
knowledge_scores,score_zero_filled,float64,FALSE,FALSE,n_correct divided by n_items; missing responses count as zero only in this score
knowledge_responses,raw_text,string,TRUE,FALSE,Original reviewed text response; null for numeric items
people,poll_id,string,FALSE,TRUE,poll id
people,respondent_id,string,FALSE,TRUE,respondent id
people,source_id,string,FALSE,FALSE,source id
people,source_row,int32,FALSE,FALSE,source row
people,source_respondent_id,string,TRUE,FALSE,source respondent id
people,historical_respondent_id,string,TRUE,FALSE,Documented historical caseid alias; separate from original source identity
people,identity_basis,string,FALSE,FALSE,Unique original ID or immutable-source row fallback; no inferred cross-file identity
sample_memberships,poll_id,string,FALSE,TRUE,poll id
sample_memberships,respondent_id,string,FALSE,TRUE,respondent id
sample_memberships,sample_id,string,FALSE,TRUE,sample id
sample_memberships,included,bool,TRUE,FALSE,TRUE included; FALSE excluded by this named sample rule; NA unresolved
sample_memberships,evidence,string,FALSE,FALSE,evidence
source_responses,poll_id,string,FALSE,TRUE,poll id
source_responses,respondent_id,string,FALSE,TRUE,respondent id
source_responses,source_column,string,FALSE,TRUE,source column
source_responses,source_wave,string,TRUE,FALSE,Literal source wave or form marker where reviewed; unknown stays missing
source_responses,raw_numeric,float64,TRUE,FALSE,raw numeric
source_responses,raw_text,string,TRUE,FALSE,raw text
source_responses,response_status,string,FALSE,FALSE,response status
source_responses,missing_code,string,TRUE,FALSE,missing code
respondent_measures,poll_id,string,FALSE,TRUE,poll id
respondent_measures,respondent_id,string,FALSE,TRUE,respondent id
respondent_measures,definition_id,string,FALSE,TRUE,definition id
respondent_measures,value_numeric,float64,TRUE,FALSE,value numeric
respondent_measures,n_source_fields,int32,FALSE,FALSE,n source fields
respondent_measures,n_observed_fields,int32,FALSE,FALSE,Substantive input fields; not automatically the scoring denominator
respondent_memberships,poll_id,string,FALSE,TRUE,poll id
respondent_memberships,respondent_id,string,FALSE,TRUE,respondent id
respondent_memberships,session_id,string,FALSE,TRUE,session id
respondent_memberships,group_id,string,FALSE,TRUE,group id
respondent_memberships,weight,float64,FALSE,FALSE,weight
derived_measures,poll_id,string,FALSE,TRUE,Poll source identifier
derived_measures,respondent_id,string,FALSE,TRUE,Unique source person; historical duplicate exports share this identity
derived_measures,legacy_field,string,FALSE,TRUE,Historical derived field; group calculations may include respondent-specific leave-one-out adjustments
