poll_id,legacy_field,historical_rows,historical_observed,canonical_definition,status,evidence,blocker
uk-eu-1995,readbrief,238,0,readbrief@historical-v1,implemented,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05,
uk-eu-1995,t1know,238,238,t1know@historical-v1,implemented,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05,
uk-eu-1995,t1knowr,238,238,t1know@historical-v1,implemented,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05,
uk-eu-1995,t1knowcor,238,238,t1knowcor@historical-v1,implemented,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05,
uk-eu-1995,t2know,238,238,t2know@historical-v1,implemented,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05,
uk-eu-1995,ppage,238,237,ppage@historical-v1,implemented,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05,
uk-eu-1995,educ4,238,230,educ4@historical-v1,implemented,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05,
uk-eu-1995,minority,238,233,minority@historical-v1,implemented,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05,
uk-eu-1995,hhincome,238,0,hhincome@historical-v1,implemented,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05,
uk-eu-1995,female,238,238,female@historical-v1,implemented,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05,
uk-eu-1995,attextreme,238,238,attextreme@historical-v1,implemented,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05,
uk-eu-1995,highinc,238,0,highinc@historical-v1,implemented,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05,
uk-eu-1995,t1polint,238,238,t1polint@historical-v1,implemented,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05,
uk-eu-1995,t1knowcor2,238,0,t1knowcor2@historical-v1,implemented,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05,
uk-eu-1995,t12know,238,0,t12know@historical-v1,implemented,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05,
uk-eu-1995,t12knowcor,238,0,t12knowcor@historical-v1,implemented,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05,
uk-eu-1995,attextreme2,238,0,attextreme2@historical-v1,implemented,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05,
uk-eu-1995,t1knowrcor,238,238,t1knowcor@historical-v1,implemented,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05,
uk-eu-1995,t2knowr,238,238,t2know@historical-v1,implemented,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05,
uk-eu-1995,knowgain,238,238,knowgain@historical-v1,implemented,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05,
uk-eu-1995,knowgain2,238,238,knowgain2@historical-v1,implemented,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05,
uk-eu-1995,logpk,238,238,logpk@historical-v1,implemented,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05,
uk-eu-1995,tobitpk,238,238,tobitpk@historical-v1,implemented,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05,
uk-eu-1995,knowgainr,238,238,knowgain@historical-v1,implemented,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05,
uk-eu-1995,knowgainr2,238,238,knowgain2@historical-v1,implemented,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05,
uk-eu-1995,educ3,238,230,educ3@historical-v1,implemented,R/respondent_eu.R; historical-cdd-scripts:legacy/poll_scripts/uk_eu.R; docs/poll-issues.md UKEU-02-05,
