legacy_field,caseid,historical_value,approved_value
minority,910073,0,0
minority,910102,0,0
minority,910036,0,0
minority,910049,0,0
minority,910094,1,1
minority,910122,1,NA
minority,910001,1,1
minority,910127,0,0
minority,910013,0,0
minority,910072,0,0
minority,910068,0,0
minority,910005,1,1
minority,910022,1,1
minority,910117,0,0
minority,910083,0,0
minority,910085,0,0
minority,910041,0,0
minority,910098,0,0
minority,910074,0,0
minority,910016,0,0
minority,910020,0,0
minority,910120,1,1
minority,910095,0,0
minority,910105,0,0
minority,910107,0,0
minority,910096,0,0
minority,910035,1,1
minority,910028,0,0
minority,910023,0,0
minority,910044,0,0
minority,910090,1,1
minority,910100,0,0
minority,910057,0,0
minority,910111,1,1
minority,910054,0,0
minority,910056,0,0
minority,910050,0,0
minority,910055,0,0
minority,910131,1,1
minority,910104,0,0
minority,910053,1,1
minority,910048,0,0
minority,910004,0,0
minority,910010,1,1
minority,910008,1,1
minority,910042,0,0
minority,910126,0,0
minority,910077,0,0
minority,910078,0,0
minority,910034,1,1
minority,910067,1,1
minority,910114,0,0
minority,910130,0,0
minority,910031,0,0
minority,910108,0,0
minority,910132,0,0
minority,910079,1,1
minority,910003,1,1
minority,910040,0,0
minority,910062,0,0
minority,910045,0,0
minority,910119,1,1
minority,910046,1,1
minority,910115,1,1
minority,910080,0,0
minority,910081,1,1
minority,910112,0,0
minority,910110,0,0
minority,910011,0,0
minority,910088,0,0
minority,910024,0,0
minority,910089,1,1
minority,910128,0,0
minority,910064,0,0
minority,910124,1,1
minority,910109,1,1
minority,910051,1,NA
minority,910076,1,1
minority,910021,0,0
minority,910106,0,0
minority,910092,0,0
minority,910061,0,0
minority,910015,0,0
minority,910038,0,0
minority,910093,0,0
minority,910030,1,1
minority,910002,0,0
minority,910123,0,0
minority,910007,0,0
minority,910033,1,1
minority,910087,0,0
minority,910063,1,1
minority,910084,1,1
minority,910059,1,1
minority,910029,0,0
minority,910075,1,1
minority,910060,0,0
minority,910026,0,0
minority,910039,0,0
minority,910069,0,0
minority,910006,0,0
minority,910012,0,0
minority,910043,0,0
minority,910025,0,0
minority,910097,1,1
minority,910071,0,0
minority,910129,0,0
minority,910037,0,0
minority,910032,0,0
minority,910066,0,0
minority,910086,0,0
minority,910014,0,0
minority,910103,0,0
minority,910018,1,NA
minority,910070,0,0
minority,910027,0,0
minority,910017,0,0
minority,910091,0,0
minority,910047,0,0
minority,910052,0,0
minority,910065,0,0
minority,910019,0,0
minority,910009,1,1
minority,910118,0,0
minority,910058,0,0
minority,910125,1,NA
minority,910082,0,0
minority,910121,0,0
minority,910099,0,0
minority,910116,0,0
minority,910101,0,0
minority,910113,0,0
pminority,910073,0.1111111111111111,0.1111111111111111
pminority,910102,0,0
pminority,910036,0.3,0.3
pminority,910049,0.2,0.1111111111111111
pminority,910094,0.25,0.25
pminority,910122,0.4615384615384616,0.36363636363636365
pminority,910001,0.5,0.5
pminority,910127,0.16666666666666669,0.16666666666666669
pminority,910013,0.42857142857142855,0.42857142857142855
pminority,910072,0.1111111111111111,0.1111111111111111
pminority,910068,0.1111111111111111,0.1111111111111111
pminority,910005,0.5,0.5
pminority,910022,0.16666666666666669,0.16666666666666669
pminority,910117,0.4615384615384616,0.36363636363636365
pminority,910083,0.2727272727272727,0.2727272727272727
pminority,910085,0.2727272727272727,0.2727272727272727
pminority,910041,0.3,0.3
pminority,910098,0.25,0.25
pminority,910074,0.5,0.5
pminority,910016,0.14285714285714288,0
pminority,910020,0.14285714285714288,0
pminority,910120,0.4615384615384616,0.36363636363636365
pminority,910095,0.25,0.25
pminority,910105,0,0
pminority,910107,0.2857142857142857,0.2857142857142857
pminority,910096,0.25,0.25
pminority,910035,0.3,0.3
pminority,910028,0.16666666666666669,0.16666666666666669
pminority,910023,0.16666666666666669,0.16666666666666669
pminority,910044,0.25,0.25
pminority,910090,0.2727272727272727,0.2727272727272727
pminority,910100,0.25,0.25
pminority,910057,0.25,0.25
pminority,910111,0.2857142857142857,0.2857142857142857
pminority,910054,0.2,0.1111111111111111
pminority,910056,0.2,0.1111111111111111
pminority,910050,0.2,0.1111111111111111
pminority,910055,0.2,0.1111111111111111
pminority,910131,0.16666666666666669,0.16666666666666669
pminority,910104,0,0
pminority,910053,0.2,0.1111111111111111
pminority,910048,0.2,0.1111111111111111
pminority,910004,0.5,0.5
pminority,910010,0.42857142857142855,0.42857142857142855
pminority,910008,0.42857142857142855,0.42857142857142855
pminority,910042,0.3,0.3
pminority,910126,0.4615384615384616,0.36363636363636365
pminority,910077,0.5,0.5
pminority,910078,0.5,0.5
pminority,910034,0.3,0.3
pminority,910067,0.1111111111111111,0.1111111111111111
pminority,910114,0.4615384615384616,0.36363636363636365
pminority,910130,0.16666666666666669,0.16666666666666669
pminority,910031,0.16666666666666669,0.16666666666666669
pminority,910108,0.2857142857142857,0.2857142857142857
pminority,910132,0.16666666666666669,0.16666666666666669
pminority,910079,0.5,0.5
pminority,910003,0.5,0.5
pminority,910040,0.3,0.3
pminority,910062,0.25,0.25
pminority,910045,0.25,0.25
pminority,910119,0.4615384615384616,0.36363636363636365
pminority,910046,0.25,0.25
pminority,910115,0.4615384615384616,0.36363636363636365
pminority,910080,0.5,0.5
pminority,910081,0.5,0.5
pminority,910112,0.2857142857142857,0.2857142857142857
pminority,910110,0.2857142857142857,0.2857142857142857
pminority,910011,0.42857142857142855,0.42857142857142855
pminority,910088,0.2727272727272727,0.2727272727272727
pminority,910024,0.16666666666666669,0.16666666666666669
pminority,910089,0.2727272727272727,0.2727272727272727
pminority,910128,0.16666666666666669,0.16666666666666669
pminority,910064,0.25,0.25
